side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
short,primary,2023-01-09 20:00:00,2023-01-10 20:00:00,17178.26,17464.45,0.227591,17464.45,-69.11,False,24.0
short,primary,2023-01-30 00:00:00,2023-02-01 20:00:00,23701.44,23603.18,0.08186,24205.74,66.16,True,68.0
short,primary,2023-02-08 08:00:00,2023-02-14 12:00:00,23159.07,22035.01,0.084315,23602.59,147.11,True,148.0
short,rolling,2023-02-14 04:00:00,2023-02-14 12:00:00,21768.48,22085.27,0.030353,22085.27,-10.29,False,8.0
short,rolling,2023-02-09 16:00:00,2023-02-15 12:00:00,22032.71,22512.83,0.050589,22512.83,-25.43,False,140.0
long,primary,2023-02-19 12:00:00,2023-02-20 00:00:00,24922.21,24132.32,0.158397,24132.32,-128.94,False,12.0
long,primary,2023-03-09 12:00:00,2023-03-09 16:00:00,21648.57,21129.34,0.179894,21129.34,-97.21,False,4.0
short,primary,2023-03-18 04:00:00,2023-03-22 12:00:00,27359.89,28607.47,0.140863,28607.47,-179.77,False,104.0
short,primary,2023-04-05 12:00:00,2023-04-10 20:00:00,28031.09,29421.24,0.13487,29421.24,-191.46,False,128.0
short,primary,2023-04-11 12:00:00,2023-04-14 00:00:00,30194.22,30854.2,0.122622,30854.2,-84.71,False,60.0
short,primary,2023-04-24 04:00:00,2023-04-25 20:00:00,27451.97,28279.59,0.133582,28279.59,-114.33,False,40.0
long,primary,2023-05-12 12:00:00,2023-05-17 04:00:00,26320.84,26768.79,0.068765,25524.2,109.24,True,112.0
long,rolling,2023-05-28 20:00:00,2023-05-29 12:00:00,28065.0,27683.67,0.01504,27683.67,-6.15,False,16.0
long,rolling,2023-05-28 16:00:00,2023-05-29 16:00:00,27525.99,27562.42,0.012534,27161.69,6.61,True,24.0
long,primary,2023-05-25 08:00:00,2023-05-31 04:00:00,26296.62,27429.45,0.069631,25707.49,136.61,True,140.0
long,rolling,2023-05-28 00:00:00,2023-05-31 04:00:00,27187.23,27429.45,0.020889,26869.93,13.85,True,76.0
long,primary,2023-06-10 16:00:00,2023-06-14 20:00:00,25750.0,24870.85,0.144472,24870.85,-130.61,False,100.0
long,primary,2023-06-25 00:00:00,2023-06-30 12:00:00,30748.46,29798.56,0.119239,29798.56,-116.82,False,132.0
long,rolling,2023-07-13 16:00:00,2023-07-13 20:00:00,31606.01,31068.58,0.035622,31068.58,-20.25,False,4.0
long,primary,2023-06-30 20:00:00,2023-07-14 16:00:00,30472.0,30710.3,0.05937,29594.19,88.61,True,332.0
long,primary,2023-07-25 04:00:00,2023-08-01 12:00:00,29142.46,28698.23,0.12503,28698.23,-59.13,False,176.0
long,primary,2023-08-01 12:00:00,2023-08-02 16:00:00,28954.0,29024.77,0.062488,28246.32,67.06,True,28.0
long,primary,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.12375,29065.61,-50.67,False,104.0
long,primary,2023-08-18 08:00:00,2023-08-18 16:00:00,26494.0,25650.91,0.136718,25650.91,-118.77,False,8.0
