total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,win_rate_pct,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,liquidations,liq_loss,avg_win,avg_loss,cooldown,leverage_tier,risk_pct,trail_atr_mult,fib_tolerance,long_only,score
328911.21,32901120.81,54.85,1.693,45.68,9.543,81,81,0,33553446.79,0.0,1,788743.82,1012995.26,-89258.59,18,aggressive,0.08,3.5,0.012,True,92920.506674567
327766.91,32786691.16,54.85,1.694,48.89,8.012,90,81,9,33958304.64,-398826.68,1,741822.79,871488.81,-104044.13,18,aggressive,0.08,2.5,0.012,False,92589.82815587966
327262.13,32736213.39,54.85,1.691,52.44,10.764,82,73,9,33632299.27,-287609.66,1,583612.98,854874.25,-87561.62,24,aggressive,0.08,3.5,0.012,False,92457.17098541478
326416.07,32651606.79,54.85,1.692,45.68,9.507,81,81,0,33297195.56,0.0,1,794607.72,1005704.74,-88951.81,18,aggressive,0.08,2.5,0.012,True,92215.88021330904
330513.7,33061369.84,56.07,1.694,50.0,8.598,72,72,0,33711528.76,0.0,1,776969.21,1059678.57,-123247.21,18,aggressive,0.08,2.0,0.005,True,92054.6602960585
319970.19,32007018.74,54.85,1.687,49.32,13.319,73,73,0,32501853.72,0.0,1,613744.15,976117.79,-71307.75,24,aggressive,0.08,3.5,0.012,True,90398.42398632634
319886.64,31998664.13,54.85,1.691,48.89,7.936,90,81,9,33148218.94,-390427.5,1,737660.68,851827.86,-102665.96,18,aggressive,0.08,3.0,0.012,False,90364.63653418414
336996.28,33709627.87,59.72,1.697,47.37,10.81,76,76,0,34286393.77,0.0,1,742268.69,1049487.15,-87378.6,18,aggressive,0.08,3.0,0.008,True,90185.4817910248
335380.41,33548041.46,59.37,1.696,47.37,10.761,76,76,0,34122942.97,0.0,1,746361.26,1044961.43,-87391.71,18,aggressive,0.08,2.5,0.008,True,90085.0597266296
318568.27,31866826.52,54.85,1.689,45.68,9.401,81,81,0,32501200.06,0.0,1,790149.46,982967.51,-87922.68,18,aggressive,0.08,3.0,0.012,True,89999.705372835
318161.74,31826174.43,54.85,1.687,52.44,10.649,82,73,9,32690260.81,-271111.16,1,586848.63,832070.04,-86150.31,24,aggressive,0.08,3.0,0.012,False,89887.87069097538
318041.44,31814143.57,54.85,1.687,52.44,10.643,82,73,9,32673088.26,-265892.41,1,590084.28,831810.36,-86170.51,24,aggressive,0.08,2.5,0.012,False,89853.90814767548
314026.89,31412688.71,54.85,1.85,46.91,7.823,81,81,0,32142389.63,0.0,1,627779.31,969824.25,-109556.56,12,aggressive,0.05,2.0,0.008,True,88714.54383591613
330384.51,33048450.9,60.07,1.694,47.37,10.708,76,76,0,33617159.46,0.0,1,738176.11,1030002.24,-86573.03,18,aggressive,0.08,3.5,0.008,True,88094.04942850009
311072.51,31117250.77,54.85,1.683,49.32,13.098,73,73,0,31600067.46,0.0,1,617146.85,950336.01,-70595.37,24,aggressive,0.08,3.0,0.012,True,87886.35184776664
310954.88,31105487.9,54.85,1.683,49.32,13.067,73,73,0,31588562.89,0.0,1,620549.56,950175.58,-70750.22,24,aggressive,0.08,2.5,0.012,True,87853.14308659983
292229.86,29232986.5,54.85,1.678,50.0,7.193,86,77,9,30242733.19,-329987.67,1,662548.41,807976.37,-112331.13,18,aggressive,0.08,2.0,0.008,False,82552.59646946217
289934.38,29003438.05,54.85,1.675,51.81,8.193,83,74,9,29887787.23,-265431.26,1,593319.93,784664.27,-102955.2,24,aggressive,0.08,2.0,0.012,False,81909.45710209663
283473.9,28357390.46,54.85,1.671,48.65,9.599,74,74,0,28865429.9,0.0,1,623952.26,895067.09,-88341.72,24,aggressive,0.08,2.0,0.012,True,80092.47407019144
282982.63,28308262.74,54.85,1.674,48.35,6.467,91,82,9,29445064.12,-376433.64,1,705466.3,781494.33,-113130.21,18,aggressive,0.08,2.0,0.012,False,79938.21098085688
280989.91,28108990.81,54.85,1.672,45.12,7.418,82,82,0,28746952.61,0.0,1,753449.16,898010.02,-99542.62,18,aggressive,0.08,2.0,0.012,True,79380.33042570646
290172.05,29027205.1,59.17,1.677,46.75,8.198,77,77,0,29600953.75,0.0,1,707612.18,936486.2,-100306.08,18,aggressive,0.08,2.0,0.008,True,78105.5655408146
195740.84,19584084.18,54.85,1.814,53.85,7.564,78,71,7,20357261.37,-270697.35,1,502250.82,551111.1,-85002.84,18,aggressive,0.05,3.0,0.005,False,55318.19464721969
194839.69,19493969.2,54.85,1.813,53.85,7.55,78,71,7,20259024.94,-264423.43,1,505020.03,548738.29,-84789.08,18,aggressive,0.05,2.5,0.005,False,55063.6861194166
191861.94,19196193.91,54.85,1.811,53.85,7.503,78,71,7,19957922.06,-266462.66,1,499481.61,540936.21,-84107.26,18,aggressive,0.05,3.5,0.005,False,54222.72642023701
188491.82,18859182.06,54.85,1.689,53.42,7.757,73,66,7,19466452.74,-184902.93,1,522333.23,567565.76,-83926.9,24,aggressive,0.08,3.0,0.005,False,53268.899625341845
203816.27,20391627.2,62.17,1.618,46.97,6.574,66,66,0,20823514.42,0.0,1,1158049.23,792239.32,-106740.13,36,aggressive,0.08,2.5,0.012,True,53197.39814202992
187604.94,18770494.43,54.85,1.689,53.42,7.745,73,66,7,19370814.87,-179291.8,1,525213.17,565042.33,-83680.23,24,aggressive,0.08,2.5,0.005,False,53018.459738377394
200302.32,20040232.03,62.13,1.616,46.97,6.516,66,66,0,20468325.37,0.0,1,1149503.26,779964.55,-106016.45,36,aggressive,0.08,3.5,0.012,True,52301.25942636407
184756.49,18485649.5,54.85,1.686,53.42,7.696,73,66,7,19083855.83,-181900.33,1,519453.29,557042.32,-83020.44,24,aggressive,0.08,3.5,0.005,False,52213.9634211486
198839.49,19893948.99,62.68,1.615,46.97,6.492,66,66,0,20319253.46,0.0,1,1151551.83,774797.55,-105699.16,36,aggressive,0.08,3.0,0.012,True,51637.45528589662
192016.64,19211663.91,61.55,1.61,45.31,6.383,64,64,0,19623091.15,0.0,1,1105101.15,802355.43,-104149.04,36,aggressive,0.08,2.5,0.008,True,50430.633589764424
190109.7,19020969.85,61.51,1.609,45.31,6.329,64,64,0,19431766.87,0.0,1,1105101.15,795800.26,-104184.02,36,aggressive,0.08,3.5,0.008,True,49949.98579336694
188385.36,18848536.27,62.07,1.608,45.31,6.306,64,64,0,19255948.76,0.0,1,1105101.15,789135.16,-103684.89,36,aggressive,0.08,3.0,0.008,True,49219.63482551958
172161.51,17226151.41,54.85,1.676,52.7,6.3,74,67,7,17846738.41,-180946.47,1,528093.11,538430.97,-95229.02,24,aggressive,0.08,2.0,0.005,False,48650.92653327256
184334.16,18443415.73,61.66,1.605,46.27,5.405,67,67,0,18895770.64,0.0,1,1164546.63,747913.11,-119153.77,36,aggressive,0.08,2.0,0.012,True,48355.52886571522
168675.14,16877513.74,54.85,1.79,53.16,5.928,79,72,7,17625928.89,-249860.92,1,479045.42,497662.01,-95290.17,18,aggressive,0.05,2.0,0.005,False,47668.23057247038
172692.38,17279238.26,61.03,1.596,44.62,5.272,65,65,0,17707624.66,0.0,1,1105101.15,753533.27,-115134.45,36,aggressive,0.08,2.0,0.008,True,45592.72801146977
152520.96,15262096.32,54.85,1.958,53.12,7.714,96,85,11,16024928.05,-309475.74,1,185028.49,354039.12,-52012.06,12,aggressive,0.03,3.5,0.012,False,43121.62669279854
153355.75,15345575.43,56.69,1.776,50.7,8.973,71,71,0,15672270.05,0.0,1,423297.99,489940.61,-56159.77,18,aggressive,0.05,3.0,0.005,True,42446.98050097019
152649.64,15274963.69,56.3,1.775,50.7,8.938,71,71,0,15600637.65,0.0,1,425631.89,487943.14,-56151.87,18,aggressive,0.05,2.5,0.005,True,42438.916788632334
149013.21,14911321.32,54.85,1.954,53.12,7.689,96,85,11,15650441.35,-296676.81,1,186054.32,346060.32,-51006.93,12,aggressive,0.03,3.0,0.012,False,42131.08982862352
150316.35,15041634.78,57.07,1.773,50.7,8.889,71,71,0,15363663.01,0.0,1,420964.1,480866.42,-55643.66,18,aggressive,0.05,3.5,0.005,True,41429.07340283862
143113.2,14321320.07,54.85,1.946,52.58,7.546,97,86,11,15026991.37,-277449.25,1,187080.15,333384.46,-48979.69,12,aggressive,0.03,2.5,0.012,False,40464.47111212398
145612.6,14571259.9,56.69,1.651,50.0,9.163,66,66,0,14836693.2,0.0,1,434077.77,504674.43,-55077.67,24,aggressive,0.08,3.0,0.005,True,40303.98968512966
144927.37,14502736.74,56.3,1.651,50.0,9.131,66,66,0,14767488.94,0.0,1,436471.11,502537.73,-55038.06,24,aggressive,0.08,2.5,0.005,True,40292.30601420959
142726.56,14282655.65,57.07,1.648,50.0,9.079,66,66,0,14544291.72,0.0,1,431684.44,495286.15,-54550.03,24,aggressive,0.08,3.5,0.005,True,39337.38551901174
137000.62,13710062.12,54.85,1.947,50.59,10.205,85,85,0,14037380.2,0.0,1,176579.21,361913.83,-36307.48,12,aggressive,0.03,3.5,0.012,True,38751.09560984503
134846.94,13494693.84,54.85,1.752,50.59,7.15,85,76,9,14023123.09,-182776.4,1,358885.14,374205.46,-53583.05,18,aggressive,0.05,3.0,0.008,False,38122.978567000915
134200.07,13430007.3,54.85,1.751,50.59,7.133,85,76,9,13952835.59,-178454.58,1,360863.89,372567.97,-53477.19,18,aggressive,0.05,2.5,0.008,False,37940.242200546956
133849.58,13394958.15,54.85,1.942,50.59,10.131,85,85,0,13714568.89,0.0,1,177558.2,353871.66,-35759.82,12,aggressive,0.03,3.0,0.012,True,37861.35847402005
132200.1,13230010.38,54.85,1.749,50.59,7.092,85,76,9,13750920.96,-180115.66,1,356906.39,367401.7,-53034.94,18,aggressive,0.05,3.5,0.008,False,37375.35485870557
131610.31,13171030.96,54.85,1.748,48.89,6.324,90,81,9,13779038.69,-212898.73,1,381355.76,366231.98,-55392.77,18,aggressive,0.05,3.5,0.012,False,37204.9780556062
