bullet_id,side,entry_time,exit_time,entry_price,initial_margin,n_adds,total_pnl,pnl_multiple,close_reason,trailing_activated,peak_floating_pnl,confluence,fib_level,duration_days,n_legs_total,n_legs_liquidated
27,long,2023-06-06 04:00:00,2023-06-10 04:00:00,25722.33,500.0,1,-377.94,-0.76,trailing_stop,True,621.24,TD9_buy|MACD_div_1,,4.0,2,0
28,long,2023-07-05 12:00:00,2023-08-01 00:00:00,30356.11,500.0,1,-829.4,-1.66,liquidation,False,411.75,TD9_buy|Fib_0.618,0.618,26.5,2,2
29,long,2023-07-18 12:00:00,2023-08-17 00:00:00,29912.0,500.0,0,-500.0,-1.0,liquidation,False,124.67,TD9_buy|volume_spike,,29.5,1,1
33,long,2023-08-11 12:00:00,2023-08-17 12:00:00,29395.89,500.0,0,-500.0,-1.0,liquidation,False,69.43,MACD_div_2|Fib_0.618,0.618,6.0,1,1
34,long,2023-08-14 12:00:00,2023-08-17 12:00:00,29599.99,500.0,0,-500.0,-1.0,liquidation,False,0.0,MACD_div_2|Fib_0.500,0.500,3.0,1,1
30,long,2023-08-01 16:00:00,2023-08-17 16:00:00,29274.41,500.0,0,-500.0,-1.0,liquidation,False,209.71,MACD_div_2|Fib_0.618,0.618,16.0,1,1
31,long,2023-08-04 16:00:00,2023-08-17 20:00:00,29032.06,500.0,0,-500.0,-1.0,liquidation,False,294.94,MACD_div_2|Fib_0.618,0.618,13.2,1,1
32,long,2023-08-07 16:00:00,2023-08-17 20:00:00,29154.91,500.0,0,-500.0,-1.0,liquidation,False,251.56,MACD_div_2|Fib_0.618,0.618,10.2,1,1
35,long,2023-09-05 16:00:00,2023-09-18 16:00:00,25683.93,500.0,1,268.17,0.54,trailing_stop,True,636.14,TD9_buy|MACD_div_1,,13.0,2,0
36,long,2023-10-04 00:00:00,2023-11-03 08:00:00,27430.43,500.0,4,4904.99,9.81,trailing_stop,True,6372.26,TD9_buy|Fib_0.500,0.500,30.3,5,0
37,long,2023-10-11 16:00:00,2023-11-03 08:00:00,26763.2,500.0,4,5531.12,11.06,trailing_stop,True,6887.94,TD9_buy|Fib_0.618,0.618,22.7,5,0
38,long,2023-11-27 16:00:00,2023-12-11 00:00:00,36877.0,500.0,3,2415.08,4.83,trailing_stop,True,3665.06,TD9_buy|Fib_0.618,0.618,13.3,4,0
39,long,2023-12-12 00:00:00,2023-12-24 20:00:00,41735.29,500.0,1,-10.59,-0.02,trailing_stop,True,549.15,TD9_buy|Fib_0.382,0.382,12.8,2,0
40,long,2024-01-23 04:00:00,2024-02-01 00:00:00,39780.0,500.0,2,528.78,1.06,trailing_stop,True,1311.78,TD9_buy|MACD_div_1,,8.8,3,0
41,long,2024-03-19 16:00:00,2024-03-20 04:00:00,64391.99,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|MACD_div_1|Fib_0.618,0.618,0.5,1,1
42,long,2024-04-02 04:00:00,2024-04-09 08:00:00,66455.5,500.0,2,222.33,0.44,trailing_stop,True,1125.24,MACD_div_2|Fib_0.500,0.500,7.2,3,0
44,long,2024-04-22 12:00:00,2024-04-27 00:00:00,65994.38,500.0,0,-500.0,-1.0,liquidation,False,125.0,MACD_div_2|Fib_0.500,0.500,4.5,1,1
43,long,2024-04-19 08:00:00,2024-04-30 08:00:00,64870.74,500.0,0,-500.0,-1.0,liquidation,False,300.38,MACD_div_2|Fib_0.618,0.618,11.0,1,1
45,long,2024-04-25 12:00:00,2024-04-30 12:00:00,64135.94,500.0,0,-500.0,-1.0,liquidation,False,95.29,MACD_div_2|Fib_0.382,0.382,5.0,1,1
46,long,2024-04-28 20:00:00,2024-04-30 16:00:00,63118.62,500.0,0,-500.0,-1.0,liquidation,False,118.41,MACD_div_2|Fib_0.500,0.500,1.8,1,1
47,long,2024-05-02 12:00:00,2024-05-08 12:00:00,59264.15,500.0,2,275.78,0.55,trailing_stop,True,1177.01,MACD_div_3|Fib_0.618,0.618,6.0,3,0
48,short,2024-05-13 16:00:00,2024-05-15 16:00:00,63172.69,500.0,0,-500.0,-1.0,liquidation,False,252.51,TD9_sell|Fib_0.382,0.382,2.0,1,1
49,long,2024-06-24 20:00:00,2024-07-03 00:00:00,60293.3,500.0,1,-39.9,-0.08,trailing_stop,True,573.83,TD9_buy|MACD_div_2,,8.2,2,0
50,long,2024-07-03 12:00:00,2024-07-04 08:00:00,60186.25,500.0,0,-500.0,-1.0,liquidation,False,3.71,TD9_buy|MACD_div_1,,0.8,1,1
51,long,2024-08-27 12:00:00,2024-08-27 20:00:00,61709.13,500.0,0,-500.0,-1.0,liquidation,False,63.67,TD9_buy|MACD_div_1|Fib_0.382,0.382,0.3,1,1
52,long,2024-09-06 12:00:00,2024-09-16 00:00:00,54045.01,500.0,2,834.35,1.67,trailing_stop,True,1709.99,TD9_buy|MACD_div_2,,9.5,3,0
53,long,2024-12-19 00:00:00,2024-12-19 20:00:00,101193.15,500.0,0,-500.0,-1.0,liquidation,False,124.2,TD9_buy|Fib_0.500,0.500,0.8,1,1
54,long,2025-01-08 12:00:00,2025-01-13 12:00:00,95493.77,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|MACD_div_1|Fib_0.618,0.618,5.0,1,1
55,long,2025-01-14 00:00:00,2025-01-19 20:00:00,94861.4,500.0,2,732.27,1.46,trailing_stop,True,1796.42,MACD_div_2|Fib_0.618,0.618,5.8,3,0
56,long,2025-01-27 04:00:00,2025-02-01 20:00:00,99048.02,500.0,1,-11.63,-0.02,trailing_stop,True,785.59,MACD_div_2|Fib_0.500,0.500,5.7,2,0
59,long,2025-02-17 00:00:00,2025-02-24 20:00:00,96215.33,500.0,0,-500.0,-1.0,liquidation,False,250.89,MACD_div_2|Fib_0.618,0.618,7.8,1,1
60,long,2025-02-23 16:00:00,2025-02-25 00:00:00,95755.99,500.0,0,-500.0,-1.0,liquidation,False,52.43,MACD_div_2|Fib_0.618,0.618,1.3,1,1
57,short,2025-02-04 04:00:00,2025-03-01 04:00:00,98448.02,500.0,3,1767.62,3.54,trailing_stop,True,3883.09,MACD_bear_div_2|Fib_0.500,0.500,25.0,4,0
58,short,2025-02-07 12:00:00,2025-03-01 04:00:00,98283.98,500.0,3,1734.68,3.47,trailing_stop,True,3817.54,MACD_bear_div_2|Fib_0.500,0.500,21.7,4,0
61,short,2025-03-20 08:00:00,2025-04-07 12:00:00,85502.17,500.0,2,-47.53,-0.1,trailing_stop,True,1213.56,TD9_sell|MACD_bear_div_1,,18.2,3,1
62,long,2025-04-09 20:00:00,2025-04-10 16:00:00,82615.22,500.0,0,-500.0,-1.0,liquidation,False,0.0,MACD_div_2|Fib_0.382,0.382,0.8,1,1
63,long,2025-06-05 12:00:00,2025-06-12 04:00:00,104531.49,500.0,1,123.13,0.25,trailing_stop,True,550.07,TD9_buy|MACD_div_2|Fib_0.618,0.618,6.7,2,0
64,long,2025-06-12 12:00:00,2025-06-21 20:00:00,107020.95,500.0,0,-500.0,-1.0,liquidation,False,152.4,MACD_div_2|Fib_0.382,0.382,9.3,1,1
65,long,2025-06-17 20:00:00,2025-06-22 12:00:00,104551.17,500.0,0,-500.0,-1.0,liquidation,False,136.45,MACD_div_2|Fib_0.618,0.618,4.7,1,1
66,long,2025-07-01 20:00:00,2025-07-14 12:00:00,105681.14,500.0,3,1886.38,3.77,trailing_stop,True,2722.65,TD9_buy|MACD_div_1|Fib_0.382,0.382,12.7,4,0
67,short,2025-08-04 12:00:00,2025-08-11 00:00:00,114826.0,500.0,0,-500.0,-1.0,liquidation,False,164.77,TD9_sell|Fib_0.618,0.618,6.5,1,1
68,long,2025-08-25 16:00:00,2025-09-22 00:00:00,110716.13,500.0,1,281.0,0.56,trailing_stop,True,714.26,TD9_buy|MACD_div_1,,27.3,2,0
69,long,2025-08-30 00:00:00,2025-09-22 00:00:00,108436.2,500.0,2,503.98,1.01,trailing_stop,True,1093.43,TD9_buy|MACD_div_2,,23.0,3,0
70,long,2025-09-02 00:00:00,2025-09-22 00:00:00,110322.18,500.0,1,313.6,0.63,trailing_stop,True,760.31,MACD_div_2|Fib_0.618,0.618,20.0,2,0
71,long,2025-09-05 12:00:00,2025-09-22 00:00:00,110716.82,500.0,1,280.94,0.56,trailing_stop,True,714.18,MACD_div_2|Fib_0.500,0.500,16.5,2,0
72,long,2025-09-09 00:00:00,2025-09-22 00:00:00,111708.0,500.0,1,136.43,0.27,trailing_stop,True,569.11,MACD_div_2|Fib_0.382,0.382,13.0,2,0
73,long,2025-09-22 04:00:00,2025-10-07 12:00:00,112519.99,500.0,2,1024.26,2.05,trailing_stop,True,1703.77,TD9_buy|volume_spike,,15.3,3,0
74,long,2025-09-26 08:00:00,2025-10-07 12:00:00,109133.5,500.0,3,1655.71,3.31,trailing_stop,True,2477.21,TD9_buy|MACD_div_1,,11.2,4,0
75,short,2025-10-20 16:00:00,2025-10-27 04:00:00,110803.22,500.0,0,-500.0,-1.0,liquidation,False,293.15,TD9_sell|MACD_bear_div_1,,6.5,1,1
76,long,2025-11-04 04:00:00,2025-11-04 20:00:00,104490.72,500.0,0,-500.0,-1.0,liquidation,False,9.0,TD9_buy|MACD_div_1,,0.7,1,1
77,long,2025-11-07 12:00:00,2025-11-11 12:00:00,100797.95,500.0,1,59.7,0.12,trailing_stop,True,587.32,TD9_buy|MACD_div_1,,4.0,2,0
79,long,2025-11-14 20:00:00,2025-11-18 00:00:00,94594.0,500.0,0,-500.0,-1.0,liquidation,False,192.73,TD9_buy|MACD_div_2,,3.2,1,1
78,short,2025-11-10 12:00:00,2025-11-24 20:00:00,105079.99,500.0,3,2612.98,5.23,trailing_stop,True,4797.55,TD9_sell|MACD_bear_div_1|Fib_0.618,0.618,14.3,4,0
80,long,2025-11-26 20:00:00,2025-12-01 04:00:00,90484.02,500.0,0,-500.0,-1.0,liquidation,False,207.6,MACD_div_2|Fib_0.618,0.618,4.3,1,1
81,long,2025-12-01 00:00:00,2025-12-05 16:00:00,86346.13,500.0,1,107.41,0.21,trailing_stop,True,1019.04,MACD_div_2|Fib_0.500,0.500,4.7,2,0
82,long,2025-12-05 12:00:00,2025-12-15 16:00:00,90459.35,500.0,0,-500.0,-1.0,liquidation,False,369.39,MACD_div_2|Fib_0.382,0.382,10.2,1,1
83,long,2025-12-15 08:00:00,2025-12-15 16:00:00,89641.28,500.0,0,-500.0,-1.0,liquidation,False,0.0,MACD_div_2|Fib_0.618,0.618,0.3,1,1
84,long,2025-12-21 12:00:00,2026-01-06 16:00:00,88067.95,500.0,1,339.53,0.68,trailing_stop,True,808.6,MACD_div_2|Fib_0.500,0.500,16.2,2,0
85,long,2025-12-24 12:00:00,2026-01-06 16:00:00,87049.99,500.0,2,527.77,1.06,trailing_stop,True,1096.19,MACD_div_2|Fib_0.618,0.618,13.2,3,0
86,long,2026-01-08 08:00:00,2026-01-18 20:00:00,90226.77,500.0,2,118.46,0.24,trailing_stop,True,952.0,TD9_buy|Fib_0.618,0.618,10.5,3,0
87,long,2026-01-16 12:00:00,2026-01-20 16:00:00,94585.98,500.0,0,-500.0,-1.0,liquidation,False,104.42,TD9_buy|Fib_0.382,0.382,4.2,1,1
88,long,2026-01-20 12:00:00,2026-01-25 20:00:00,90684.95,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD13_buy,,5.3,1,1
89,long,2026-01-30 08:00:00,2026-01-31 16:00:00,83151.36,500.0,0,-500.0,-1.0,liquidation,False,133.39,TD9_buy|MACD_div_1,,1.3,1,1
90,long,2026-02-05 20:00:00,2026-02-11 04:00:00,62909.86,500.0,2,-26.98,-0.05,trailing_stop,True,1962.26,TD9_buy|MACD_div_1,,5.3,3,0
91,long,2026-02-11 12:00:00,2026-02-16 12:00:00,66519.73,500.0,1,20.22,0.04,trailing_stop,True,760.94,TD9_buy|Fib_0.500,0.500,5.0,2,0
